Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
255600	23208	5071	116815	111105	-	KB-152G3.1	SYT11	PARK2	SYT12|sytXI	AR-JP|LPRS2|PDJ|PRKN	Reconstituted Complex	physical	Huynh DP (2003)	12925569	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255789	2872	1981	109130	108296	-	-	MKNK2	EIF4G1	GPRK7|MNK2	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Scheper GC (2003)	12897141	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255790	2872	1981	109130	108296	-	-	MKNK2	EIF4G1	GPRK7|MNK2	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Biochemical Activity	physical	Scheper GC (2003)	12897141	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
256168	329	27429	106826	118165	-	-	BIRC2	HTRA2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	OMI|PARK13|PRSS25	Affinity Capture-MS	physical	Hegde R (2003)	12865429	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256171	27429	331	118165	106828	-	RP1-315G1.5	HTRA2	XIAP	OMI|PARK13|PRSS25	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	Reconstituted Complex	physical	Hegde R (2003)	12865429	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256172	27429	329	118165	106826	-	-	HTRA2	BIRC2	OMI|PARK13|PRSS25	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	Reconstituted Complex	physical	Hegde R (2003)	12865429	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256173	27429	330	118165	106827	-	-	HTRA2	BIRC3	OMI|PARK13|PRSS25	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	Reconstituted Complex	physical	Hegde R (2003)	12865429	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256474	30011	8867	119029	114388	RP11-345L8.1	-	SH3KBP1	SYNJ1	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	INPP5G|PARK20	Affinity Capture-Western	physical	Kurakin AV (2003)	12829691	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256476	30011	8867	119029	114388	RP11-345L8.1	-	SH3KBP1	SYNJ1	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	INPP5G|PARK20	Far Western	physical	Kurakin AV (2003)	12829691	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258076	853393	55737	33701	120855	YJL053W	TCCCTA00141	PEP8	VPS35	GRD6|VPS26|VPT4|retromer subunit PEP8|L000001378	MEM3|PARK17	Affinity Capture-Western	physical	Zhao X (2007)	17916227	559292	9606	Low Throughput	-	-	-	-	-	BIOGRID
258600	5071	7965	111105	113684	KB-152G3.1	PRO0992	PARK2	AIMP2	AR-JP|LPRS2|PDJ|PRKN	JTV-1|JTV1|P38	Affinity Capture-Western	physical	Corti O (2003)	12783850	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258601	5071	7965	111105	113684	KB-152G3.1	PRO0992	PARK2	AIMP2	AR-JP|LPRS2|PDJ|PRKN	JTV-1|JTV1|P38	Two-hybrid	physical	Corti O (2003)	12783850	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258911	1213	9829	107623	115167	-	-	CLTC	DNAJC6	CHC|CHC17|CLH-17|CLTCL2|Hc	DJC6|PARK19	Reconstituted Complex	physical	Scheele U (2003)	12732633	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259232	5414	6622	111415	112506	hucep-7	-	SEPT4	SNCA	ARTS|BRADEION|CE5B3|H5|MART|PNUTL2|SEP4|hCDCREL-2	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Ihara M (2003)	12695511	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259233	4735	6622	110812	112506	-	-	SEPT2	SNCA	DIFF6|NEDD-5|NEDD5|Pnutl3|hNedd5	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Ihara M (2003)	12695511	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259490	6622	6531	112506	112422	-	-	SNCA	SLC6A3	NACP|PARK1|PARK4|PD1	DAT|DAT1|PKDYS	Affinity Capture-Western	physical	Wersinger C (2003)	12672538	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259491	6531	6622	112422	112506	-	-	SLC6A3	SNCA	DAT|DAT1|PKDYS	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Wersinger C (2003)	12672538	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259951	5071	55294	111105	120581	KB-152G3.1	-	PARK2	FBXW7	AR-JP|LPRS2|PDJ|PRKN	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4	Affinity Capture-Western	physical	Staropoli JF (2003)	12628165	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259952	55294	5071	120581	111105	-	KB-152G3.1	FBXW7	PARK2	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Staropoli JF (2003)	12628165	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259953	55294	5071	120581	111105	-	KB-152G3.1	FBXW7	PARK2	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4	AR-JP|LPRS2|PDJ|PRKN	Reconstituted Complex	physical	Staropoli JF (2003)	12628165	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259954	5071	8454	111105	114032	KB-152G3.1	-	PARK2	CUL1	AR-JP|LPRS2|PDJ|PRKN	-	Affinity Capture-Western	physical	Staropoli JF (2003)	12628165	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259955	5071	8454	111105	114032	KB-152G3.1	-	PARK2	CUL1	AR-JP|LPRS2|PDJ|PRKN	-	Reconstituted Complex	physical	Staropoli JF (2003)	12628165	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259959	5071	898	111105	107338	KB-152G3.1	-	PARK2	CCNE1	AR-JP|LPRS2|PDJ|PRKN	CCNE	Affinity Capture-Western	physical	Staropoli JF (2003)	12628165	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259960	5071	8900	111105	114417	KB-152G3.1	-	PARK2	CCNA1	AR-JP|LPRS2|PDJ|PRKN	CT146	Affinity Capture-Western	physical	Staropoli JF (2003)	12628165	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260233	11315	64800	116446	122306	CTA-215D11.1	RP1-185D5.5	PARK7	EFCAB6	DJ-1|DJ1|HEL-S-67p	DJBP|HSCBCIP1|dJ185D5.1	Affinity Capture-Western	physical	Niki T (2003)	12612053	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260234	11315	64800	116446	122306	CTA-215D11.1	RP1-185D5.5	PARK7	EFCAB6	DJ-1|DJ1|HEL-S-67p	DJBP|HSCBCIP1|dJ185D5.1	Reconstituted Complex	physical	Niki T (2003)	12612053	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260235	64800	11315	122306	116446	RP1-185D5.5	CTA-215D11.1	EFCAB6	PARK7	DJBP|HSCBCIP1|dJ185D5.1	DJ-1|DJ1|HEL-S-67p	Two-hybrid	physical	Niki T (2003)	12612053	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269688	56901	5071	121231	111105	-	KB-152G3.1	NDUFA4L2	PARK2	NUOMS	AR-JP|LPRS2|PDJ|PRKN	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
269798	5071	5879	111105	111817	KB-152G3.1	MIG5	PARK2	RAC1	AR-JP|LPRS2|PDJ|PRKN	Rac-1|TC-25|p21-Rac1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
269799	5071	5810	111105	111771	KB-152G3.1	-	PARK2	RAD1	AR-JP|LPRS2|PDJ|PRKN	HRAD1|REC1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
269959	9627	51608	114986	119636	-	CGI-20	SNCAIP	GET4	SYPH1|Sph1	C7orf20|CEE|TRC35	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
269960	9627	10044	114986	115355	-	RP11-56D16.1	SNCAIP	SH2D3C	SYPH1|Sph1	CHAT|NSP3|PRO34088|SHEP1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270210	10951	7345	116151	113192	-	-	CBX1	UCHL1	CBX|HP1-BETA|HP1Hs-beta|HP1Hsbeta|M31|MOD1|p25beta	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270560	4738	7345	110815	113192	-	-	NEDD8	UCHL1	NEDD-8	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
270589	5049	5071	111086	111105	-	KB-152G3.1	PAFAH1B2	PARK2	HEL-S-303	AR-JP|LPRS2|PDJ|PRKN	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270720	5997	5071	111929	111105	GIG31	KB-152G3.1	RGS2	PARK2	G0S8	AR-JP|LPRS2|PDJ|PRKN	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270790	9627	5764	114986	111731	-	-	SNCAIP	PTN	SYPH1|Sph1	HARP|HBGF8|HBNF|NEGF1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270894	7316	7345	113164	113192	-	-	UBC	UCHL1	HMG20	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
274834	7345	7329	113192	113177	-	LA16c-358B7.1	UCHL1	UBE2I	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	C358B7.1|P18|UBC9	Two-hybrid	physical	Caballero OL (2002)	12082530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274835	7345	10048	113192	115359	-	-	UCHL1	RANBP9	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	BPM-L|BPM90|RANBPM|RanBP7	Two-hybrid	physical	Caballero OL (2002)	12082530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274836	7345	10987	113192	116183	-	-	UCHL1	COPS5	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	CSN5|JAB1|MOV-34|SGN5	Two-hybrid	physical	Caballero OL (2002)	12082530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274837	10987	7345	116183	113192	-	-	COPS5	UCHL1	CSN5|JAB1|MOV-34|SGN5	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Affinity Capture-Western	physical	Caballero OL (2002)	12082530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274839	1027	7345	107461	113192	-	-	CDKN1B	UCHL1	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	Affinity Capture-Western	physical	Caballero OL (2002)	12082530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276385	5337	6622	111353	112506	-	-	PLD1	SNCA	-	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Ahn BH (2002)	11821392	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276386	6622	5337	112506	111353	-	-	SNCA	PLD1	NACP|PARK1|PARK4|PD1	-	Reconstituted Complex	physical	Ahn BH (2002)	11821392	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276706	8867	273	114388	106770	-	-	SYNJ1	AMPH	INPP5G|PARK20	AMPH1	Reconstituted Complex	physical	Micheva KD (1997)	9341169	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276707	8867	6456	114388	112353	-	-	SYNJ1	SH3GL2	INPP5G|PARK20	CNSA2|EEN-B1|SH3D2A|SH3P4	Reconstituted Complex	physical	Micheva KD (1997)	9341169	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276709	6456	8867	112353	114388	-	-	SH3GL2	SYNJ1	CNSA2|EEN-B1|SH3D2A|SH3P4	INPP5G|PARK20	Reconstituted Complex	physical	Micheva KD (1997)	9341169	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276714	6456	8867	112353	114388	-	-	SH3GL2	SYNJ1	CNSA2|EEN-B1|SH3D2A|SH3P4	INPP5G|PARK20	Affinity Capture-Western	physical	Micheva KD (1997)	9341169	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276716	273	8867	106770	114388	-	-	AMPH	SYNJ1	AMPH1	INPP5G|PARK20	Affinity Capture-Western	physical	Micheva KD (1997)	9341169	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278555	27250	1981	118098	108296	RP11-348N5.4	-	PDCD4	EIF4G1	H731	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Kang MJ (2002)	12054647	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
279898	1977	1981	108292	108296	-	-	EIF4E	EIF4G1	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Vary TC (1999)	10600798	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280210	6622	5595	112506	111581	-	-	SNCA	MAPK3	NACP|PARK1|PARK4|PD1	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	Affinity Capture-Western	physical	Pan ZZ (2002)	12121974	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280211	6622	5594	112506	111580	-	-	SNCA	MAPK1	NACP|PARK1|PARK4|PD1	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	Affinity Capture-Western	physical	Pan ZZ (2002)	12121974	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280212	6622	5599	112506	111585	-	-	SNCA	MAPK8	NACP|PARK1|PARK4|PD1	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	Affinity Capture-Western	physical	Pan ZZ (2002)	12121974	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280304	5071	8573	111105	114141	KB-152G3.1	RP11-540L11.1	PARK2	CASK	AR-JP|LPRS2|PDJ|PRKN	CAGH39|CAMGUK|CMG|FGS4|LIN2|MICPCH|MRXSNA|TNRC8	Reconstituted Complex	physical	Fallon L (2002)	11679592	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280305	5071	8573	111105	114141	KB-152G3.1	RP11-540L11.1	PARK2	CASK	AR-JP|LPRS2|PDJ|PRKN	CAGH39|CAMGUK|CMG|FGS4|LIN2|MICPCH|MRXSNA|TNRC8	Co-fractionation	physical	Fallon L (2002)	11679592	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280306	5071	8573	111105	114141	KB-152G3.1	RP11-540L11.1	PARK2	CASK	AR-JP|LPRS2|PDJ|PRKN	CAGH39|CAMGUK|CMG|FGS4|LIN2|MICPCH|MRXSNA|TNRC8	Affinity Capture-Western	physical	Fallon L (2002)	11679592	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280307	5071	2904	111105	109161	KB-152G3.1	-	PARK2	GRIN2B	AR-JP|LPRS2|PDJ|PRKN	GluN2B|MRD6|NMDAR2B|NR2B|hNR3	Affinity Capture-Western	physical	Fallon L (2002)	11679592	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280308	5071	1742	111105	108086	KB-152G3.1	-	PARK2	DLG4	AR-JP|LPRS2|PDJ|PRKN	PSD95|SAP-90|SAP90	Affinity Capture-Western	physical	Fallon L (2002)	11679592	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280309	5071	9456	111105	114845	KB-152G3.1	-	PARK2	HOMER1	AR-JP|LPRS2|PDJ|PRKN	HOMER|HOMER1A|HOMER1B|HOMER1C|SYN47|Ves-1	Affinity Capture-Western	physical	Fallon L (2002)	11679592	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280310	5071	815	111105	107265	KB-152G3.1	-	PARK2	CAMK2A	AR-JP|LPRS2|PDJ|PRKN	CAMKA	Affinity Capture-Western	physical	Fallon L (2002)	11679592	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280842	9627	6622	114986	112506	-	-	SNCAIP	SNCA	SYPH1|Sph1	NACP|PARK1|PARK4|PD1	FRET	physical	Kawamata H (2001)	11331421	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282082	6620	6622	112504	112506	-	-	SNCB	SNCA	-	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Hashimoto M (2001)	11683992	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282129	1977	1981	108292	108296	-	-	EIF4E	EIF4G1	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Far Western	physical	Mader S (1995)	7651417	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282239	1981	1973	108296	108289	-	-	EIF4G1	EIF4A1	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I	Affinity Capture-Western	physical	Connolly E (2006)	16648488	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282240	1981	1973	108296	108289	-	-	EIF4G1	EIF4A1	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I	Affinity Capture-Western	physical	Harris TE (2006)	16541103	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282247	1981	1977	108296	108292	-	-	EIF4G1	EIF4E	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	Affinity Capture-Western	physical	Connolly E (2006)	16648488	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282248	1981	1977	108296	108292	-	-	EIF4G1	EIF4E	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	Affinity Capture-Western	physical	Harris TE (2006)	16541103	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282267	1977	1981	108292	108296	-	-	EIF4E	EIF4G1	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Kumar V (2000)	10753870	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282268	1977	1981	108292	108296	-	-	EIF4E	EIF4G1	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Connolly E (2006)	16648488	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282269	1977	1981	108292	108296	-	-	EIF4E	EIF4G1	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Harris TE (2006)	16541103	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282270	8662	1981	114211	108296	-	-	EIF3B	EIF4G1	EIF3-ETA|EIF3-P110|EIF3-P116|EIF3S9|PRT1	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	Affinity Capture-Western	physical	Harris TE (2006)	16541103	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
